trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.01, 'e': 0.7849999999999998}",25,11,1.4404872589286715,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.7799999999999998}",25,0,-98.70969045422626,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.7749999999999998}",30,0,-33.00498756394664,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.7699999999999998}",20,0,-116.05302122821101,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.7649999999999998}",25,13,-3.78482126181199,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.7599999999999998}",25,8,-102.58409338889444,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 3}",1
49,False,"{'a': 0.01, 'e': 0.7549999999999998}",30,11,-45.10799940498305,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.7499999999999998}",25,0,-113.69338616531918,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.7449999999999998}",20,11,-6.326406053099258,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.7399999999999998}",25,0,-48.351083507796496,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.7349999999999998}",20,0,-68.23086089182317,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.7299999999999998}",25,0,-80.0422970077359,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.7249999999999998}",20,5,-22.565694298041034,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.7199999999999998}",25,0,-119.04026847136251,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.7149999999999997}",20,1,-32.143662307413145,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.7099999999999997}",20,0,-25.504505478735727,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.7049999999999997}",25,0,-60.93331786403524,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.6999999999999997}",30,0,-130.52403272429476,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.6949999999999997}",25,3,-28.417876312149197,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.6899999999999997}",20,10,4.826089591297952,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.6849999999999997}",25,0,4.754247383364597,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.6799999999999997}",25,0,-20.361469764317754,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.6749999999999997}",25,0,-61.732601867576314,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.6699999999999997}",20,15,-0.19511122157404337,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.6649999999999997}",20,0,-117.79929691105322,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
68,False,"{'a': 0.01, 'e': 0.6599999999999997}",30,15,-98.59219184083311,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.6549999999999997}",25,18,5.823680676672682,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.6499999999999997}",25,0,-141.45867967659333,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.6449999999999997}",20,12,4.0914522708339485,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.6399999999999997}",25,0,-108.28105802589931,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.6349999999999997}",25,0,-2.050674582511963,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.6299999999999997}",25,14,-56.363369139828414,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.6249999999999997}",25,0,-41.61277199461034,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.6199999999999997}",25,7,0.003727559703308847,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.6149999999999997}",25,13,-67.10074822966594,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.6099999999999997}",20,2,-40.8023599742471,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.6049999999999996}",20,0,-29.18462700879206,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.5999999999999996}",20,9,-59.40860201511842,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.5949999999999996}",30,9,-54.915388513543846,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
